komentar,label,timestamp,emosi
hemmmm jangan nih cek aing mah maenya eta rendang tiba sedangkeun nyya nu bisa nya bilang inilahluarbiasanya he jangan nih,0,2025-03-23 08:41:00,marah
itu ngapain si emak nempel banget ngapain si emak nempel banget,0,2025-03-20 01:13:00,marah
ayoo siapa yg nyerooook ngakuuu ay siapa yg nyerk ngaku,0,2025-03-25 09:40:00,marah
masak orang palembang kayak tidak perna h makan rendang masak orang palembang kayak perna h makan,2,2025-03-22 07:45:00,sedih
ya ambil hikmahnya aja bng wili walaupun gk sesuai dengan bng wili harapkan tapi gk mengurangi dukungan buat bng wili selamat bng wili ymbil hikmahnyja bng alau gk sesuai bng ili harap gk kurang dukung buat bng selamat bng,2,2025-03-25 03:22:00,takut
gpp ikhlas aja bang g ikhlas aja,2,2025-03-22 12:40:00,takut
pasti kalo aku jadi warga palembang bakal malu sih kalo aku jadi arga palembang bakal malu,0,2025-03-20 10:39:00,marah
kalo minta maaf ya content nya di hapus lah kalo minta mf content nya hapus lah,0,2025-03-22 05:21:00,sedih
setingan ga sih ting ga,0,2025-03-21 01:29:00,sedih
malah nyalahin udah tau di kasih gk bersukur malah nyalahin udah tau kasih gk,0,2025-03-24 00:46:00,sedih
ternyata ngeprank gamungkin semenit ludes nyata ngeprank gamungkin menit,0,2025-03-20 00:08:00,sedih
kalo punya atitude yg bagus mestinya di takedown sih video ini tp saya rasa memang anda inj mau menjelekkan nama palembang dg disengaja kalo punytitude yg bagus mesti takedon sih video tp rasa memang inj mau menjeleaama palembang dg sengaja,0,2025-03-23 22:36:00,marah
bocil byk drama bocil byk,0,2025-03-21 09:40:00,marah
malah bilang hidup palembang malah bilang,0,2025-03-22 23:58:00,sedih
ada videonya ga sihh pass diambekk kmrn video ga si pa diambe kmrn,0,2025-03-20 17:14:00,sedih
katanya palembang di katain ya kok bisa kata palembang katain kok,0,2025-03-23 00:01:00,marah
will disini banyak buzzernyo i sini banyak buernyo,2,2025-03-24 09:33:00,marah
